geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000058174	2.4	1.17	3.14	0.66	1.16	0.68	0.83	0.97	1.43
ENSMUSG00000020473	26.18	24.14	20.99	82.95	65.35	43.27	27.23	47.06	20.86
ENSMUSG00000109209	2.4	2.39	4.38	1.04	1.68	0.51	0.42	0.97	0.63
ENSMUSG00000052485	101.17	74.54	85.59	45.53	34.61	35.12	53.88	94.81	67.12
ENSMUSG00000071722	0.91	1.07	1.01	1.09	1.19	1.04	0.25	0.25	0.49
ENSMUSG00000001123	58.01	37.03	36.29	81.68	98.89	127.82	130.06	137.52	132.53
ENSMUSG00000029299	1.86	2.33	2.15	7.52	7.59	8.92	4.81	5.55	4.54
ENSMUSG00000086320	0.87	2.13	2.12	29.61	20.24	16.1	10.52	9.25	3.17
ENSMUSG00000058715	20.81	21.68	21.73	180.38	106.64	176.33	135.98	131	76.5
ENSMUSG00000034579	7.17	11.8	8.67	3.15	2.15	1.85	4.43	5.24	4.29
ENSMUSG00000138080	1.53	1.83	1.18	11.31	8.05	7.96	4.51	4.69	3.19
ENSMUSG00000042985	0.23	0.37	0.43	2.56	0.36	4.26	2.6	2.52	0.91
ENSMUSG00000036006	1.24	2.14	1.97	9.01	4.14	4.24	2.26	2.09	1.91
ENSMUSG00000126182	7.56	5.7	5.47	3.71	2.15	2.38	2.2	2.28	2.91
ENSMUSG00000045932	6	5.06	6.34	15.3	19.28	60.65	59.68	23.7	24.54
ENSMUSG00000050666	4.75	3.17	6.28	17.23	13.56	7.32	5.37	8.35	4.09
ENSMUSG00000068227	0.97	0.89	0.92	7.21	5.88	10.37	6.38	4.51	2.84
ENSMUSG00000000628	70.72	57.33	26.84	115.56	183.94	220.92	98.47	43.97	86.86
ENSMUSG00000054999	20.23	19.15	15.59	1.38	3.85	2.23	2.14	15.46	6.64
ENSMUSG00000034959	1.23	0.81	1.24	3.87	2.48	2.74	1.86	1.16	1.67
ENSMUSG00000029121	2.45	2.13	1.67	4.61	4.09	3.45	2.49	2.47	3.13
ENSMUSG00000031173	2.15	2.64	2.18	0.07	0	0	1.28	6.94	0.61
ENSMUSG00000030167	0.05	0.05	0.23	0.91	1.51	2.47	1.78	1.73	1.31
ENSMUSG00000142880	0.54	0.33	0.37	1.43	1.43	1.95	1.25	3.55	0.46
ENSMUSG00000141856	1.57	1.47	5.95	16.82	10.43	12.67	6.75	6.59	4.33
ENSMUSG00000068086	23.85	24.15	28.81	42.33	135.89	64.87	33.67	9.78	50.09
ENSMUSG00000064267	5.96	6.6	5.28	27.99	15.08	12.61	9.17	9.69	8.72
ENSMUSG00000079523	806.52	783.88	681.52	1524.78	1215.35	1371.69	1943.04	3264.09	1557.23
ENSMUSG00000031805	9.46	6.85	7.46	23.55	25.56	18.95	10.4	10.13	10.23
ENSMUSG00000029596	13.34	17.2	15.88	8.41	4.18	3.83	10	10.42	7.42
ENSMUSG00000033467	7.56	5.04	4.29	20.89	18.43	25.2	13.11	15.56	8.42
ENSMUSG00000038527	3.45	2.89	2.64	7.03	5	5.74	4.63	3.26	2.49
ENSMUSG00000026187	19.79	20.98	20.33	14.72	8.67	6.55	10.07	10.16	12.18
ENSMUSG00000054945	2.11	4.65	3.62	1.9	1.89	0.78	1.07	1.53	2.02
ENSMUSG00000025429	3.42	2	2.95	7.78	3.79	9.47	4.24	10.21	3.54
ENSMUSG00000055546	1.04	0.93	0.99	1.21	2.43	4.78	2.64	1.34	2.92
ENSMUSG00000023349	7.11	6.24	6.23	46.21	27.55	29.64	42.16	30.79	24.19
ENSMUSG00000034652	1.71	2.65	1.31	13.87	7.58	13.87	9.03	7.43	6.39
ENSMUSG00000141500	15.82	20.49	23.74	13.46	22.52	3.06	13.12	5.5	6.26
ENSMUSG00000063704	9.25	14.07	3.96	0.81	4.39	2.52	0.57	0.38	3.33
ENSMUSG00000055134	3.95	2.43	3.24	1.64	0.44	0.15	1.03	2.03	0.96
ENSMUSG00000027219	1.67	1.41	1.35	6.65	5.93	9.84	4.86	6.37	3.77
ENSMUSG00000089722	2.54	0.84	2.93	18.43	9.94	6.44	8.98	0.95	4.99
ENSMUSG00000042804	6.39	5.68	4.52	15.67	11.62	8.6	7.02	7.83	6.5
ENSMUSG00000121429	0.67	1.5	1.53	5.75	5.65	2.66	3.35	0.86	3.3
ENSMUSG00000129556	104.42	180.78	140.42	65.01	62.85	29.51	81.24	29.8	122.37
ENSMUSG00000028539	3.43	1.97	1.66	9.23	11.17	5.1	3.24	6.26	3.31
ENSMUSG00000074196	0.03	0	0.03	8.67	37.31	24.93	1.69	0.08	0.34
ENSMUSG00000101249	153.46	16.95	79.34	0	0	0	53.91	380.44	9.04
ENSMUSG00000035769	3.88	7.6	3.82	3.98	3.72	2.2	1.32	2.65	2.39
ENSMUSG00000034040	3.23	2.53	1.87	0.83	1.61	0.8	0.42	0.6	0.81
